,count,word
1680,12,"fear,"
1579,12,kind
501,12,created
1757,12,"confidence,"
1308,12,toxic
2511,12,semester
1966,12,began
552,12,situation.
100,12,brought
472,12,trouble
1726,12,nearly
151,12,itâ€™s
1164,12,gave
260,12,course
223,12,"students,"
2002,12,treated
105,12,discomfort
145,12,start
1064,12,attend
113,12,writing
1747,12,outside
2240,12,walking
541,12,least
1290,12,that.
1955,12,member
429,12,now.
310,12,ended
1444,12,disorder
583,12,huge
284,12,real
371,12,he's
146,12,therapy.
1032,12,ashamed
2206,12,supposed
1092,11,despite
1068,11,cried
3067,11,home
475,11,happening
480,11,meeting
2546,11,decided
69,11,abilities
536,11,traumatized
1536,11,embarrassed
936,11,live
106,11,wondering
1307,11,environment
3360,11,stop
1291,11,far
1319,11,except
3120,11,recently
1900,11,telling
681,11,seek
974,11,10
1989,11,wrong
28,11,worst
239,11,order
1367,11,month
2146,11,meet
1523,11,"campus,"
45,11,degree
2535,11,symptoms
2110,11,result
347,11,look
857,11,blamed
346,11,speak
656,11,multiple
51,11,walk
852,11,immediately
1690,11,within
575,11,lots
1712,11,institution.
1836,11,sad
1625,11,"department,"
1559,11,full
668,10,blame
938,10,large
1080,10,field.
3622,10,is.
794,10,disappointment
2613,10,occurred
899,10,upsetting
1646,10,behavior.
604,10,"again,"
1014,10,clearly
2105,10,directly
2577,10,"day,"
1629,10,didnâ€™t
877,10,realized
167,10,anger.
340,10,near
1127,10,contact
325,10,run
1397,10,aware
1134,10,comments
1221,10,"this,"
396,10,else
273,10,university.
3698,10,months.
1819,10,case
439,10,class.
1593,10,them.
1999,10,environment.
3384,10,older
1353,10,again.
1551,10,yet
1357,10,moved
147,10,donâ€™t
2428,10,nothing.
1445,10,face
1446,10,harassed
2572,10,may
1458,10,rape
477,10,rest
2400,10,head
1278,10,past
488,10,conference
1923,10,all.
2052,10,current
3248,10,powerless
1491,10,depressive
2781,10,interested
2394,10,somehow
1315,10,possible
200,10,weight
1281,10,distress
372,10,learned
2517,10,dissertation
243,10,week
1577,10,authority
4157,10,last
598,9,move
518,9,event
333,9,partner
1776,9,door
1288,9,"men,"
300,9,hated
1196,9,before.
1318,9,trusting
653,9,read
3518,9,suicide
2667,9,comfortable
2225,9,classroom
1268,9,positions
1205,9,building
2790,9,wish
967,9,love
912,9,spend
1706,9,that's
973,9,"disorder,"
1192,9,unsafe
324,9,term
1980,9,colleagues.
2579,9,stay
900,9,use
979,9,dealt
1212,9,advisor
2966,9,everything
1209,9,thesis
1459,9,memory
1258,9,was.
795,9,embarrassment
1702,9,turned
1979,9,esteem
189,9,concerned
77,9,known
559,9,towards
1400,9,wanting
1898,9,totally
1865,9,people.
765,9,ruined
62,9,act
2854,9,self-worth
2841,9,primary
1852,9,devastating.
171,9,email
502,9,problems
3244,9,undermined
74,9,tenure
2263,9,system
1731,9,issues.
526,9,"however,"
2379,9,turn
3218,9,culture
2872,9,physically
1663,9,terms
2027,9,considered
25,9,scholar
3269,9,science
2472,9,living
2346,9,questioning
155,9,"colleagues,"
695,9,toward
1375,9,across
2020,9,rumors
2022,9,early
588,9,campus.
5,9,"about,"
2735,9,type
1473,8,day.
686,8,fully
1641,8,give
1314,8,mentor
1772,8,allowed
2196,8,self-esteem
152,8,paranoid
1771,8,struggled
226,8,stressful.
2259,8,suffer
2495,8,happen
718,8,weird
2161,8,"therapy,"
1919,8,relationships.
864,8,hurt
1376,8,there.
1537,8,front
1384,8,unwanted
1797,8,asked
1379,8,world
2192,8,(the
1703,8,down.
3430,8,self-confidence
1916,8,normal
2991,8,"self-doubt,"
1668,8,couple
933,8,seems
591,8,"doubt,"
753,8,reason
1181,8,while.
1309,8,others.
2415,8,"much,"
1173,8,leading
580,8,annoyed
2014,8,terrible
437,8,he'd
86,8,3
179,8,sent
759,8,"program,"
456,8,friend.
1817,8,regret
1144,8,obvious
