,id,tag
196,387,['shame']
197,388,"['anxiety', 'anxiety', 'depression', 'depression', 'panic', 'ptsd', 'ptsd']"
198,389,"['angry', 'angry', 'stressful', 'stressful']"
199,390,"['anxiety', 'anxiety', 'depression', 'depression']"
200,392,['anxiety']
201,393,['anxiety']
202,395,"['depression', 'depression', 'disorder', 'disorder']"
203,396,['vulnerable']
204,397,"['anxiety', 'anxiety', 'depression', 'panic']"
205,399,"['angry', 'depression', 'guilty', 'shame', 'shame']"
206,400,"['lonely', 'doubted']"
207,401,['depression']
208,405,['wary']
209,406,"['depression', 'ptsd', 'ptsd']"
210,407,"['therapy', 'therapy']"
211,411,['blamed']
212,412,['anxiety']
213,414,"['affected', 'angry', 'angry', 'depression', 'sufferring', 'sufferring']"
214,416,"['anxiety', 'depression', 'depression']"
215,423,"['fear', 'panic']"
216,425,['bad']
217,427,"['angry', 'anxiety']"
218,428,['worried']
219,429,['worried']
220,430,"['depression', 'disorder', 'ptsd', 'struggling']"
221,432,"['fear', 'fear', 'therapy']"
222,436,['lost']
223,437,"['depression', 'stressful']"
224,438,"['stressful', 'stressful']"
225,439,"['anxiety', 'depression', 'depression']"
226,441,['ptsd']
227,443,"['anxiety', 'anxiety', 'sufferring']"
228,446,"['angry', 'panic']"
229,448,"['anxiety', 'anxiety', 'depression']"
230,449,['therapy']
231,450,"['angry', 'angry', 'anxiety', 'anxiety', 'depression', 'depression']"
232,452,"['blamed', 'depression', 'depression', 'therapy']"
233,455,"['stressful', 'stressful']"
234,460,"['fear', 'depression', 'doubted', 'lost', 'panic', 'doubted', 'sufferring', 'sufferring']"
235,462,"['fear', 'guilty', 'therapy']"
236,463,"['fear', 'fear', 'panic', 'therapy']"
237,464,['worried']
238,469,['abusive']
239,472,"['lonely', 'angry', 'guilty', 'bad', 'worried']"
240,473,"['anxiety', 'anxiety', 'stressful', 'stressful']"
241,475,"['angry', 'shame']"
242,478,"['angry', 'worse']"
243,479,['angry']
244,480,"['anxiety', 'anxiety', 'depression', 'depression', 'panic', 'shame', 'shame', 'stressful', 'stressful', 'sufferring', 'sufferring']"
245,481,"['angry', 'angry', 'lost', 'worried']"
246,484,['ptsd']
247,485,"['anxiety', 'depression', 'depression']"
248,486,"['anxiety', 'doubted']"
249,487,['panic']
250,488,"['angry', 'therapy']"
251,490,['doubted']
252,491,['angry']
253,492,['shame']
254,494,['therapy']
255,497,['anxiety']
256,499,['doubted']
257,501,"['upset', 'upset']"
258,502,"['therapy', 'therapy']"
259,505,"['anxiety', 'anxiety', 'stressful']"
260,511,['stressful']
261,517,['depression']
262,518,"['ptsd', 'ptsd']"
263,520,"['lonely', 'lost']"
264,528,"['anxiety', 'doubted', 'doubted']"
265,530,"['fear', 'lonely', 'ptsd', 'ptsd']"
266,532,"['depression', 'depression']"
267,533,['anxiety']
268,534,"['angry', 'angry']"
269,535,['fear']
270,536,['wary']
271,537,"['struggling', 'therapy', 'therapy']"
272,538,['fear']
273,539,"['angry', 'lost']"
274,540,"['depression', 'sufferring', 'sufferring']"
275,541,['angry']
276,542,"['anxiety', 'anxiety']"
277,543,['angry']
278,550,['fear']
279,551,"['ptsd', 'ptsd']"
280,552,['doubted']
281,553,['worse']
282,554,['ptsd']
283,557,"['anxiety', 'anxiety', 'stressful', 'stressful']"
284,558,"['ptsd', 'therapy', 'therapy']"
285,559,"['fear', 'worried']"
286,560,"['lonely', 'depression', 'depression', 'fear']"
287,561,"['depression', 'depression', 'doubted']"
288,563,['anxiety']
289,565,['angry']
290,567,"['fear', 'bad']"
291,570,"['lonely', 'fear']"
292,571,['anxiety']
293,574,['anxiety']
294,575,"['shame', 'shame']"
295,576,"['lonely', 'anxiety', 'anxiety', 'depression']"
296,580,['ptsd']
297,581,['affected']
298,582,['panic']
299,583,"['fear', 'upset']"
300,585,['angry']
301,587,"['anxiety', 'therapy']"
302,588,['stressful']
303,591,"['doubted', 'upset', 'upset']"
304,592,['unsafe']
305,594,"['anxiety', 'anxiety', 'bad', 'bad', 'stressful', 'stressful', 'stressful', 'struggling', 'upset', 'vulnerable']"
306,595,"['doubted', 'doubted', 'doubted', 'doubted']"
307,596,['anxiety']
308,597,['struggling']
309,598,['therapy']
310,599,"['lost', 'panic']"
311,600,['stressful']
312,601,"['disorder', 'panic']"
313,606,['upset']
314,611,"['fear', 'upset']"
315,612,['stressful']
316,615,"['stressful', 'stressful']"
317,617,"['depression', 'depression']"
318,618,"['fear', 'depression']"
319,622,"['anxiety', 'depression', 'wary', 'panic', 'ptsd']"
320,623,['lonely']
321,624,"['anxiety', 'anxiety', 'depression', 'therapy']"
322,625,['wary']
323,628,['anxiety']
324,631,['angry']
325,632,"['fear', 'panic', 'ptsd']"
326,635,['anxiety']
327,636,"['lonely', 'anxiety', 'wary']"
328,637,"['depression', 'ptsd']"
329,638,['fear']
330,639,['stressful']
331,641,"['wary', 'therapy']"
332,642,"['anxiety', 'anxiety', 'depression', 'depression', 'fear', 'fear']"
333,643,"['anxiety', 'depression']"
334,644,['ptsd']
335,647,"['stressful', 'stressful']"
336,648,"['anxiety', 'anxiety', 'fear', 'fear', 'unsafe', 'therapy']"
337,649,"['fear', 'fear', 'worried']"
338,652,"['anxiety', 'stressful', 'stressful']"
339,655,['shame']
340,658,"['abusive', 'bad', 'therapy', 'guilty', 'angry', 'lost', 'shame', 'suicidal']"
341,659,"['anxiety', 'depression', 'wary', 'ptsd', 'ptsd', 'struggling', 'sufferring']"
342,666,"['anxiety', 'depression', 'stressful']"
343,669,['doubted']
344,672,['ptsd']
345,673,['shame']
346,674,['anxiety']
347,675,"['anxiety', 'anxiety', 'depression', 'depression', 'ptsd']"
348,676,"['anxiety', 'depression']"
349,677,['doubted']
350,681,['therapy']
351,682,"['anxiety', 'therapy']"
352,684,['shame']
353,685,"['depression', 'depression']"
354,686,['ptsd']
355,687,['ptsd']
356,688,['uncomfortable']
357,692,['depression']
358,694,"['affected', 'therapy']"
359,695,"['affected', 'therapy']"
360,696,"['affected', 'therapy']"
361,697,"['affected', 'therapy']"
362,699,['anxiety']
363,700,['stressful']
364,701,['guilty']
365,702,"['depression', 'ptsd']"
366,708,"['angry', 'angry', 'depression', 'depression', 'stressful']"
367,710,"['anxiety', 'anxiety', 'panic']"
368,712,"['depression', 'lonely']"
369,713,"['depression', 'depression']"
370,714,"['depression', 'stressful']"
371,715,['uncomfortable']
372,716,"['depression', 'lost']"
373,717,['panic']
374,722,"['doubted', 'therapy']"
375,727,['angry']
376,731,"['sufferring', 'sufferring', 'worse']"
377,733,['angry']
378,735,['upset']
379,736,['therapy']
